edw_table,eds_equivalent_table,Status,is_table_replaced,issue_key,eds_base_table,table,key_cols
coursera_warehouse.edw_prod.mega_authoring_course_branch_graded_assignment_groups,prod.silver.courral_authoring_course_branch_graded_assignment_groups_vw,Done,No,EDSMIG-5674,prod.silver_base.courral_authoring_course_branch_graded_assignment_groups,courral_authoring_course_branch_graded_assignment_groups,"['doc_key', 'graded_assignment_group_id']"
coursera_warehouse.edw_prod.lti_tools,prod.silver.courral_lti_tools_vw,Done,No,EDSMIG-5666,prod.silver_base.courral_lti_tools,courral_lti_tools,"['version', 'doc_key']"
coursera_warehouse.edw_prod.lti_tool_contents,prod.silver.courral_lti_tool_contents_vw,Done,No,EDSMIG-5665,prod.silver_base.courral_lti_tool_contents,courral_lti_tool_contents,"['version', 'doc_key']"
coursera_warehouse.edw_prod.levelset_sessions_versions,prod.silver.levelset_sessions_versions_vw,Done,No,EDSMIG-5653,prod.silver_base.levelset_sessions_versions,,
coursera_warehouse.edw_prod.levelset_sessions_scores,prod.silver.levelset_sessions_scores_vw,Done,No,EDSMIG-5652,prod.silver_base.levelset_sessions_scores,,
coursera_warehouse.edw_prod.levelset_sessions_metadata,prod.silver.levelset_sessions_versions_vw,Done,No,EDSMIG-5651,prod.silver_base.levelset_sessions_versions,,
coursera_warehouse.edw_prod.lecture_views,prod.silver.static_lecture_views_vw,Done,No,EDSMIG-5646,prod.silver_base.static_lecture_views,,
coursera_warehouse.edw_prod.lecture_contents,prod.silver.courral_lecture_contents_vw,Done,No,EDSMIG-5645,prod.silver_base.courral_lecture_contents,courral_lecture_contents,"['version', 'doc_key']"
coursera_warehouse.edw_prod.learning_objectives,prod.silver.courral_learn_objective_main_vw,Done,No,EDSMIG-5643,prod.silver_base.courral_learn_objective_main,courral_learn_objective_main,['doc_key']
coursera_warehouse.edw_prod.learner_goals,prod.silver.learner_goals_vw,Done,No,EDSMIG-5631,prod.silver_base.learner_goals,learner_goals,['raw_id']
coursera_warehouse.edw_prod.learner_goal_progress_info,prod.silver.learner_goal_progress_info_vw,Done,No,EDSMIG-5630,prod.silver_base.learner_goal_progress_info,learner_goal_progress_info,"['raw_id', 'progress_key']"
coursera_warehouse.edw_prod.learner_course_schedules,prod.silver.courral_learner_course_schedules_vw,Done,No,EDSMIG-5627,prod.silver_base.courral_learner_course_schedules,courral_learner_course_schedules,"['user_id', 'course_id', 'version']"
coursera_warehouse.edw_prod.learner_course_schedule_modules,prod.silver.courral_learner_course_schedule_modules_vw,Done,No,EDSMIG-5624,prod.silver_base.courral_learner_course_schedule_modules,courral_learner_course_schedule_modules,"['user_id', 'course_id', 'module_id', 'version']"
coursera_warehouse.edw_prod.learner_course_schedule_items,prod.silver.courral_learner_course_schedule_items_vw,Done,No,EDSMIG-5620,prod.silver_base.courral_learner_course_schedule_items,courral_learner_course_schedule_items,"['user_id', 'course_id', 'item_id', 'version']"
coursera_warehouse.edw_prod.labs_instructor_templates,prod.silver.courral_labs_instructor_templates_vw,Done,No,EDSMIG-5614,prod.silver_base.courral_labs_instructor_templates,,
coursera_warehouse.edw_prod.labs_images,prod.silver.courral_labs_images_vw,Done,No,EDSMIG-5611,prod.silver_base.courral_labs_images,courral_labs_images,['id_record']
coursera_warehouse.edw_prod.instructors,prod.gold_pii.instructors_vw,Done,No,EDSMIG-5601,prod.gold_base_pii.instructors,,
coursera_warehouse.edw_prod.ifc_markets,prod.silver.static_ifc_markets_vw,Done,No,EDSMIG-5596,prod.silver_base.static_ifc_markets,,
coursera_warehouse.edw_prod.hg_assessment_submissions,prod.silver.static_hg_assessment_submissions_vw,Done,No,EDSMIG-5587,prod.silver_base.static_hg_assessment_submissions,,
coursera_warehouse.edw_prod.hg_assessment_evaluations,prod.silver.static_hg_assessment_evaluations_vw,Done,No,EDSMIG-5582,prod.silver_base.static_hg_assessment_evaluations,,
coursera_warehouse.edw_prod.groups,prod.gold.groups_vw,Done,No,EDSMIG-5580,prod.gold_base.groups,,
coursera_warehouse.edw_prod.group_entitlement_redemptions,prod.silver.courral_group_entitlement_redemptions_main_vw,Done,No,EDSMIG-5576,prod.silver_base.courral_group_entitlement_redemptions_main,courral_group_entitlement_redemptions_main,['group_entitlement_redemption_id']
coursera_warehouse.edw_prod.grid_executors,prod.silver.courral_grid_executor_main_vw,Done,No,EDSMIG-5575,prod.silver_base.courral_grid_executor_main,courral_grid_executor_main,['grid_executor_id']
coursera_warehouse.edw_prod.feedback_item_comments,prod.general.feedback_item_comments_vw,Done,No,EDSMIG-5552,prod.general.feedback_item_comments,,
coursera_warehouse.edw_prod.feedback_detailed_context_types,prod.silver.static_feedback_detailed_context_types_vw,Done,No,EDSMIG-5550,prod.silver_base.static_feedback_detailed_context_types,,
coursera_warehouse.edw_prod.fb_friends,prod.silver.static_fb_friends_vw,Done,No,EDSMIG-5545,prod.silver_base.static_fb_friends,,
coursera_warehouse.edw_prod.fb_education_histories,prod.silver.static_fb_education_histories_vw,Done,No,EDSMIG-5543,prod.silver_base.static_fb_education_histories,,
coursera_warehouse.edw_prod.enterprise_versioned_target_skill_profiles,prod.silver.courral_enterprise_versioned_target_skill_profiles_vw,Done,No,EDSMIG-5534,prod.silver_base.courral_enterprise_versioned_target_skill_profiles,courral_enterprise_versioned_target_skill_profiles,"['version', 'doc_key']"
coursera_warehouse.edw_prod.enterprise_versioned_programs,prod.silver.enterprise_versioned_programs_vw,Done,No,EDSMIG-5532,prod.silver_base.enterprise_versioned_programs,,
coursera_warehouse.edw_prod.enterprise_versioned_program_target_skill_profiles,prod.silver.enterprise_versioned_program_target_skill_profiles_vw,Done,No,EDSMIG-5531,prod.silver_base.enterprise_versioned_program_target_skill_profiles,,
coursera_warehouse.edw_prod.enterprise_user_rosters_v2,silver.enterprise_user_rosters_vw,Done,No,EDSMIG-5527,silver_base.enterprise_user_rosters,enterprise_user_rosters,['id']
coursera_warehouse.edw_prod.enterprise_user_rosters,prod.silver.enterprise_user_rosters_vw,Done,No,EDSMIG-5526,prod.silver_base.enterprise_user_rosters,enterprise_user_rosters,['id']
